Symbol,Date,Multiplier
KOTAKBANK,20150708,2
KOTHARIPRO,20140328,3
KOTHARIPRO,20160105,1.5
KPIT,20070104,2.5
KPRMILL,20161129,2
KRBL,20100210,10
KRIDHANINF,20141027,5
KRITIIND,20071213,10
KSBPUMPS,19960219,2
KSBPUMPS,20110418,2
KSCL,20140127,5
KSERASERA,20150330,10
KSOILS,20060908,2
KSOILS,20070718,10
KTIL,20160811,2.08
KTKBANK,20021025,2
KWALITY,20091210,10
KWALITY,20100615,1.71
LAKSHMIEFL,20000327,2
LAKSHMIEFL,20061215,5
LAKSHVILAS,20061117,1.5
LAMBODHARA,20151015,2
LAOPALA,20060925,2
LAOPALA,20140924,5
LAOPALA,20180322,2
LAXMIMACH,19971020,2
LAXMIMACH,20061213,10
LCCINFOTEC,20050314,5
LFIC,19951218,1.5
LFIC,19960101,10
LGBBROSLTD,20031209,20
LGBBROSLTD,20100315,0.1
LGBBROSLTD,20140704,2
LGBBROSLTD,20180614,2
LIBERTSHOE,20051013,2
LICHSGFIN,20101230,5
LINCOLN,20060208,5
LINCOLN,20090319,0.2
LITL,20100104,10
LLOYDFIN,19951023,1.5
LLOYDMETAL,19950113,2
LLOYDMETAL,20071019,5
LLOYDMETAL,20160726,2
LT,20060928,2
LT,20081001,2
LT,20130711,1.5
LT,20170713,1.5
LUMAXTECH,20180607,5
LUPIN,20060811,2
LUPIN,20100827,5
LUXIND,20160606,5
LYPSAGEMS,20140929,1.5
LYPSAGEMS,20170712,1.4
M&M,19951220,1.67
M&M,20050901,2
M&M,20100329,2
M&M,20171221,2
M&MFIN,20130215,5
MAANALU,20170710,2
MAARSOFTW,19991122,2
MADHUCON,20051202,5
MADHUCON,20091105,2
MAFATLAIND,20030122,10
MAGMA,20100813,5
MAHSCOOTER,19970915,2
MAHSEAMLES,20060418,2
MAITHANALL,20100617,1.5
MAITHANALL,20150715,2
MALCO,20080717,5
MANALIPETC,20060928,2
MANAPPURAM,20070314,2
MANAPPURAM,20100503,10
MANAPPURAM,20110609,2
MANINDS,20071009,2
MANINFRA,20140828,5
MANPASAND,20170927,2
MANUGRAPH,20051003,5
MARATHON,20060316,5
MARATHON,20071012,3
MARATHON,20100706,1.5
MARATHON,20151221,1.5
MARATHON,20180405,2
MARICO,20020814,2
MARICO,20040506,2
MARICO,20070221,10
MARICO,20151222,2
MARKSANS,20080311,10
MASTEK,19991129,2
MASTEK,20001026,2
MASTEK,20060327,2
MATRIXLABS,20050113,10
MAWANASUG,19980406,1.2
MAYURUNIQ,20120806,2
MAYURUNIQ,20130925,2
MAYURUNIQ,20140328,2
MAZDA,20050818,5
MAZDA,20061113,0.2
MBLINFRA,20150728,2
MCDOWELLN,20180615,5
MEDICAPS,20130319,4
MENONBE,20091008,2
MENONBE,20150409,5
MENONBE,20160830,1.2
MERCATOR,20050124,10
MERCATOR,20060202,2.5
METALFORGE,19950421,2
METALFORGE,20050922,3
METKORE,20111103,5
MFSL,20000508,2
MFSL,20070312,5
MHRIL,20170710,1.5
MIC,20080627,5
MICRO,20001026,2
MICROTECH,20120717,2
MIDEASTI,19950403,1.5
MINDACORP,20120327,2
MINDACORP,20150105,10
MINDAIND,20160912,5
MINDTREE,20140603,2
MINDTREE,20160309,2
MIRCELECTR,20030813,2
MIRCELECTR,20031216,10
MIRZAINT,19970106,2
MIRZAINT,20000228,2
MIRZAINT,20070424,5
MMFL,20050216,2
MMFL,20080926,2
MMFL,20180718,2
MMTC,20100729,20
MMTC,20180503,1.5
MMWL,20010618,3
MMWL,20021115,10
MOHOTAIND,20140206,3
MOHOTAIND,20150316,1.17
MOIL,20170927,2
MOLDTECH,20160217,5
MOLDTKPAC,20160217,2
MONSANTO,20010813,2
MONSANTO,20111005,2
MOREPENLAB,20001107,5
MOSERBAER,20031127,2
MOSERBAER,20070717,1.5
MOTHERSUMI,19971201,1.5
MOTHERSUMI,20001115,1.5
MOTHERSUMI,20021022,2
MOTHERSUMI,20040316,5
MOTHERSUMI,20050224,1.5
MOTHERSUMI,20070830,1.5
MOTHERSUMI,20121003,1.5
MOTHERSUMI,20131220,1.5
MOTHERSUMI,20150723,1.5
MOTHERSUMI,20170705,1.5
MOTILALOFS,20080725,5
MPHASIS,20030702,2
MPHASIS,20040526,2
MPHASIS,20051111,2
MPSLTD,20020102,2
MUNJALAU,20111229,5
MUNJALAU,20170711,2
MUNJALSHOW,19980928,2
MUNJALSHOW,20061016,5
MURLIIND,20100318,5
MUTHOOTCAP,20170612,1.1
MVL,20090918,5
MVL,20101116,2
MYSOREBANK,20090107,10
NACLIND,20121122,10
NACLIND,20130530,1.21
NAKODA,20100122,4
NANDAN,20120309,0.1
NATCOPHARM,20151126,5
NATIONALUM,20110315,4
NATPEROXID,20060526,25
NAUKRI,20100927,2
NAUKRI,20120622,2
NAVINFLUOR,20170719,5
NAVNETEDUL,19960624,1.5
NAVNETEDUL,20060927,5
NAVNETEDUL,20090908,2.5
NBCC,20160602,5
NBCC,20170217,1.5
NBCC,20180425,2
NBIFIN,20171207,2
NBVENTURES,20050824,5
NBVENTURES,20160901,2
NCC,20050824,5
NCC,20060920,2
NCOPPER,20100927,10
NCOPPER,20110929,0.1
NDL,20051102,10
NDL,20070118,2
NDL,20120307,0.1
NECCLTD,20121115,4
NECLIFE,20081112,10
NELCAST,20110906,5
NEPCAGRO,19960923,1.33
NESCO,20031204,10
NESCO,20060904,2
NESCO,20100720,2
NESCO,20170915,5
NESTLEIND,19960715,1.5
NEXTMEDIA,20040817,1.25
NIACL,20180627,2
NIITLTD,19950605,1.5
NIITLTD,19990227,1.5
NIITLTD,20070824,7.5
NIITTECH,20070830,1.5
NILAINFRA,20050926,10
NIPPOBATRY,19950113,2
NIPPOBATRY,19981005,2
NIRMA,20070314,2
NISSAN,20111003,0.1
NITINFIRE,20101104,5
NITINFIRE,20110922,3.5
NITINFIRE,20141113,1.33
NIVINFRA,20140107,0.1
NIVINFRA,20140109,0.1
NIYATILEAS,20050928,10
NIYATILEAS,20161129,0.1
NMDC,20080410,10
NMDC,20080521,3
NOCIL,19950310,10
NOCIL,19951004,2
NOVARTIND,20001106,2
NRBBEARING,20070326,5
NRBBEARING,20100903,2
NTL,20110110,5
NTL,20130807,0.1
NUCLEUS,20010917,1.5
NUCLEUS,20040806,2
NUCLEUS,20070803,2
NUTEK,20091223,2
OCL,20050802,5
OFSS,20030905,2
OIL,20120329,2.5
OIL,20170112,1.33
OIL,20180327,1.5
OMAXAUTO,20020813,6
OMAXE,20131111,1.26
OMMETALS,20050822,10
ONGC,20061027,1.5
ONGC,20110208,4
ONGC,20161215,1.5
ONMOBILE,20110503,2
ONWARDTEC,20011120,2.5
OPTOCIRCUI,20030114,1.1
OPTOCIRCUI,20031110,1.2
OPTOCIRCUI,20041020,1.3
OPTOCIRCUI,20050816,1.5
OPTOCIRCUI,20061030,2
OPTOCIRCUI,20071025,1.5
OPTOCIRCUI,20081103,1.7
OPTOCIRCUI,20120329,1.3
ORBITCORP,20100629,2
ORBTEXP,20120709,1.5
ORBTEXP,20170214,2
ORCHIDPHAR,20050915,1.5
ORICONENT,20110714,5
ORIENTABRA,19961202,2
ORIENTABRA,20040914,2
ORIENTABRA,20050816,10
ORIENTABRA,20090812,2
ORIENTBELL,20000904,2
ORIENTBELL,20070115,2.25
ORIENTHOT,19961125,1.5
ORIENTHOT,20101110,10
ORIENTPPR,20080201,10
ORISSAMINE,20121029,10
OTIS,19950113,2
PADMINPOLY,19970217,1.5
PAEL,19960930,1.5
PAISALO,20100405,5
PAISALO,20100518,4
PAISALO,20101029,2
PAISALO,20111004,0.1
PALREDTEC,20160426,0.5
PALREDTECH,20160427,0.5
PANACEABIO,20030203,10
PANAMAPET,20140919,5
PANAMAPET,20171003,1.5
PANORAMUNI,20020313,2
PANORAMUNI,20100621,6
PANYAMCEM,20060913,10
PAPERPROD,20070525,5
PARACABLES,20010920,1.4
PARACABLES,20070125,5
PARASPETRO,20051026,10
PAREKHPLAT,19950127,2
PAREKHPLAT,19980601,2
PARSVNATH,20101018,2
PATELENG,20010102,2
PATELENG,20011113,1.5
PATELENG,20041025,10
PCJEWELLER,20170706,2
PDPL,20071102,2
PDPL,20100913,1.33
PDUMJEIND,20080311,5
PEL,20041227,5
PENINLAND,20071016,5
PENTACOMMU,20021011,1.2
PENTSFWARE,19990816,2
PENTSFWARE,20020925,1.1
PERMAGNET,19960516,10
PERSISTENT,20150310,2
PETRONET,20170703,2
PFC,20160826,2
PFIZER,20000612,2
PFOCUS,20101029,10
PGHH,19971119,1.5
PGHH,20031210,1.5
PHARMACIA,20000925,2
PHILIPCARB,20180419,5
PHOENIXLTD,20051209,50
PHOENIXLTD,20080213,5
PIDILITIND,19961007,2
PIDILITIND,20000605,2
PIDILITIND,20050920,10
PIDILITIND,20100315,2
PIIND,20090325,2
PIIND,20100708,1.5
PIIND,20110817,2
PIIND,20130412,5
PILITA,20160824,4
PINCON,20151008,2
PINCON,20160623,2
PIONEEREMB,20051014,1.5
PIRAMHELTH,19950123,2
PITTILAM,20150416,2
PLASTIBLEN,20120229,2
PLASTIBLEN,20170703,2
PNB,20141218,5
PNBGILTS,20130703,1.33
PNCINFRA,20160812,5
POKARNA,20171018,5
POLARIND,19950106,1.5
POLARIS,20000502,2
POLARIS,20010704,1.5
POLYMED,20100326,2
POLYMED,20130709,2
POLYMED,20150202,2
POLYMED,20170324,2
POLYPLEX,20101223,2
PONDYOXIDE,20050309,5
PONDYOXIDE,20070115,0.22
PRADIP,20130212,1.2
PRAJIND,20050817,10
PRAJIND,20070718,2
PRAKASH,19950203,1.5
PRAKASHCON,20121213,10
PRAKASHSTL,20160303,10
PRASGLOFIN,20050211,10
PRATIBHA,20100730,5
PRECOT,20131003,1.5
PRECWIRE,20160321,2
PROVOGE,20081003,5
PTL,20020527,10
PTL,20080225,5
PUNJABCHEM,20040922,2
PUNJABTRAC,19961118,2
PUNJABTRAC,20000724,3
PUNJLLOYD,20070329,5
PVP,19990322,2
RADAAN,20040408,5
RADICO,20060106,5
RAIN,20110615,5
RAINBOWPAP,20100811,5
RAJESHEXPO,20050909,5
RAJESHEXPO,20080129,6
RAJPALAYAM,20110713,2
RAJRAYON,20130304,10
RAJTV,20140325,4
RALLIS,20100608,1.5
RALLIS,20110715,10
RAMASTEEL,20160314,10
RAMCOCEM,20031106,10
RAMCOCEM,20081001,20
RAMCOIND,20090914,20
RANBAXY,19981201,2
RANBAXY,20021001,1.6
RANBAXY,20050725,2
RASOYPR,20110621,2
RASOYPR,20130321,15
RATNAMANI,19951127,1.5
RATNAMANI,20081106,5
RAYMOND,19961007,1.5
RECLTD,20160928,2
REDINGTON,20100820,5
REIAGROLTD,20031226,2
REIAGROLTD,20090205,10
REISIXTEN,20091026,5
RELAXO,20010209,2
RELAXO,20131122,5
RELAXO,20150701,2
RELIANCE,19971027,2
RELIANCE,20091126,2
RELIANCE,20170907,2
RENUKA,20080410,10
RENUKA,20100315,2
RESPONIND,20070322,4
RESPONIND,20101008,10
RESURGERE,20120615,0.1
RICOAUTO,20020313,2
RICOAUTO,20050311,10
RMMIL,20100915,30
RMMIL,20120614,0.1
ROLLT,19960809,2
ROLLT,20130227,2.5
ROLLT,20150604,5
ROLLT,20160922,2
ROLTA,20080124,2
ROOFITIND,20001127,2
ROSSELLIND,20110120,5
RPOWER,20080530,1.6
RSSOFTWARE,20100621,1.28
RSSOFTWARE,20150121,2
RSYSTEMS,20140226,10
RUBYMILLS,20121122,2
RUBYMILLS,20151021,2
RUCHINFRA,19950522,1.5
RUCHINFRA,20050421,40
RUCHISOYA,20071029,5
SABTN,20051230,5
SABTN,20071025,0.2
SADBHAV,20101207,10
SALZERELEC,19950403,2
SAMBHAAV,20050926,10
SANCO,20160810,1.2
SANDVIKAS,19950619,1.6
SANGHIIND,19980803,3
SANGHVIMOV,20070823,5
SANWARIA,20020611,2
SANWARIA,20020918,1.2
SANWARIA,20051013,1.25
SANWARIA,20061208,2.5
SANWARIA,20080204,2
SANWARIA,20080926,2
SANWARIA,20110407,2
SANWARIA,20170703,2
SARLAPOLY,20151029,10
SATYAMCOMP,19990816,2
SATYAMCOMP,20000807,5
SATYAMCOMP,20061009,2
SAVERA,20101025,2
SB&TINTL,19981214,2
SBBJ,20081007,10
SBIN,20141120,10
SBT,20081205,10
SCI,20081029,1.5
SEINVEST,20111005,0.1
SELAN,20101231,1.1
SEQUENT,20160225,5
SETCO,20100805,2
SETCO,20120814,1.5
SETCO,20151216,5
SEZAL,20101021,10
SEZAL,20111109,0.1
SEZALGLASS,20111111,0.1
SHAHALLOYS,20060213,2
SHAIVAL,20171017,6
SHAKTIPUMP,20110428,2
SHALPAINTS,20121122,5
SHAMART,20070829,5
SHANTIGEAR,20040727,20
SHARONBIO,20140220,10
SHASUNPHAR,19951204,1.5
SHASUNPHAR,20050819,5
SHAWGELTIN,20140926,1.5
SHILPAMED,20070928,5
SHILPAMED,20130716,1.5
SHILPAMED,20151106,2
SHILPI,20140916,2
SHIVAMAUTO,20141030,5
SHIVAMAUTO,20151008,2
SHOPERSTOP,20110112,2
SHREDIGCEM,19951124,10
SHREEASHTA,20090820,10
SHREEASHTA,20100201,5
SHREEKRPET,20000821,2.5
SHREEKRPET,20050322,4
SHREEKRPOL,20050322,10
SHRENUJ,20050923,5
SHRENUJ,20140715,2
SHRIDINESH,20081120,10
SHRIRAMCIT,19960125,1.25
SHRIRAMINV,19961022,1.5
SICAL,19960304,2
SIEMENS,20060613,5
SIEMENS,20080229,2
SIGNET,19950918,3.5
SIGNET,20091211,3
SIGNET,20101118,6
SIGNET,20150817,10
SILTAPCHEM,19970113,1.5
SILTAPCHEM,20001127,1.5
SIMPLEXINF,20060913,5
SINGER,20180117,5
SINTEX,20051010,5
SINTEX,20101027,2
SIPAPER,20041014,2
SIPAPER,20100906,2
SIYSIL,20061019,1.5
SIYSIL,20171025,5
SKFINDIA,20011001,10
SKSIND,20090925,0.2
SKSIND,20170622,5
SMARTLINK,20020228,5
SMITHKLPHA,19980608,2
SMSPHARMA,20151217,10
SOLARINDS,20160713,5
SOMANYCERA,20101111,5
SONATSOFTW,20000925,10
SOTL,20070117,1.67
SOUISPAT,20050413,1.13
SOUISPAT,20140922,10
SOUNDCRAFT,19960101,12
SOUNDCRAFT,19970303,4
SOUNDCRAFT,19990426,1.33
SOUNDCRAFT,20020107,5
SOUNDCRAFT,20040223,3
SOUTHBANK,20081016,1.25
SOUTHBANK,20100923,10
SPECTACLE,20090123,10
SPMLINFRA,20041119,5
SPYL,20130410,10
SREINFRA,20110210,1.8
SRGINFOTEC,19960909,2
SRGINFOTEC,20000918,10
SRGINFOTEC,20010820,0.1
SRSLTD,20150625,2
STAMPEDE,20160107,10
STAMPEDE,20170110,1.25
STANDRDBAT,20101109,1
STCINDIA,20080319,2
STER,20000925,2
STER,20040206,2
STER,20060505,5
STER,20100621,4
STERLINBIO,20020107,5
STERLINBIO,20050318,2
STERTOOLS,20051110,2
STERTOOLS,20170109,5
STRAUSIND,20001004,3
STRAUSIND,20051018,10
STRTECH,20100309,5
SUBEX,20060105,2
SUBROS,20040923,2
SUBROS,20071120,5
SUDARSCHEM,19960205,1.5
SUDARSCHEM,20140930,10
SUJANATOW,20130810,0.1
SUMEETINDS,20050314,1.5
SUMEETINDS,20070426,1.1
SUNCLAYLTD,19961216,2
SUNCLAYLTD,20091009,2
SUNDARAM,20051109,10
SUNDARAM,20120413,3
SUNDARMFIN,20080822,2
SUNDARMFIN,20121213,2
SUNDRMFAST,19950925,2
SUNDRMFAST,20040127,10
SUNDRMFAST,20070104,2
SUNEARTH,20010205,2
SUNILHITEC,20161201,20
SUNPHARMA,20000306,3
SUNPHARMA,20030113,2
SUNPHARMA,20040527,2
SUNPHARMA,20101125,5
SUNPHARMA,20130729,2
SUNTECK,20091009,5
SUNTECK,20170725,2
SUNTV,20070723,4
SUPERSPIN,20060901,10
SUPRAJIT,20040316,4
SUPRAJIT,20100318,10
SUPREMEIND,20061113,2
SUPREMEIND,20101018,5
SUPREMETEX,20061117,2
SURANASOL,20141125,2
SURANAT&P,20010813,2.5
SURANAT&P,20050224,2
SURANAT&P,20141125,5
SURYALAXMI,20051010,2
SURYAPHARM,20101223,10
SUTLEJTEX,20130627,1.5
SUTLEJTEX,20170926,10
SUVEN,20040115,5
SUVEN,20070323,4
SUZLON,20080121,5
SWANENERGY,20061013,50
SWANENERGY,20140203,2
SWARAJENG,19961118,2
SWARAJENG,20050812,3
SWELECTES,20091014,2
SYMPHONY,20120215,5
SYMPHONY,20160914,2
TAJGVK,20051010,5
TAKE,20080918,10
TALBROAUTO,20041229,3.5
TANLA,20080502,2
TATACHEM,19951004,1.6
TATACOFFEE,20150123,10
TATACOMM,20001026,3
TATAELXSI,20170918,2
TATAGLOBAL,20100630,10
TATAHYDRO,19950523,10
TATAINVEST,20050822,1.5
TATAMOTORS,19951004,1.6
TATAMOTORS,20110912,5
TATAMTRDVR,19951004,1.6
TATAMTRDVR,20110912,5
TATAPOWER,19950522,10
TATAPOWER,20110926,10
TATASTEEL,20040811,1.5
TCI,20061205,5
TCS,20060728,2
TCS,20090616,2
TCS,20180531,2
TECHM,20150319,4
TECHNO,20160906,2
TERASOFT,20061123,1.25
TEXINFRA,20090101,10
THEJO,20130911,2
THERMAX,20030908,3
THERMAX,20060331,5
THOMASCOOK,19970804,1.67
THOMASCOOK,20000605,1.67
THOMASCOOK,20070514,10
TI,20090902,3
TI,20100928,3
TIDEWATER,20160316,4
TIFIN,19951023,1.33
TIFIN,20040831,2
TIFIN,20060531,5
TIMETECHNO,20081029,10
TITAN,20110623,20
TORNTPHARM,20060220,4
TORNTPHARM,20130723,2
TORRENTSEC,19960930,1.2
TORRENTSEC,20020820,2
TPINDIA,19960318,1.6
TRENT,19961022,2
TRENT,20160912,10
TRF,20090731,2
TRICOM,20061026,2
TRICOM,20080715,5
TRIGYN,19980928,2
TRIL,20130613,1.11
TRIL,20170928,10
TRIVENI,20050208,10
TRIVENI,20050613,2.5
TTML,20130807,1.13
TULIP,20100706,5
TULSI,20110107,1.1
TV18,20071017,2
TV18BRDCST,20080221,5
TVSMOTOR,20031218,10
TVSMOTOR,20100908,2
TWL,20150423,5
UBHOLDINGS,20060728,2
UBL,20060609,10
UCALFUEL,19950911,1.2
UCALFUEL,20041025,2
UGARSUGAR,19980119,1.2
UGARSUGAR,20050629,16
UJAAS,20121221,10
ULTRMARINE,19951117,2
ULTRMARINE,20051010,8
UNICHEMLAB,20000403,2
UNICHEMLAB,20040316,4
UNICHEMLAB,20101021,2.5
UNIENTER,19951114,2
UNITECH,20060623,65
UNITECH,20070830,2
UNITY,20100407,5
UNIVCABLES,19950113,2
UNIWESTBNK,20060117,1.2
UPERGANGES,19971229,1.5
UPL,20050927,5
UPL,20081029,2
URJA,20150916,10
USHDEVINT,20071205,2
USHDEVINT,20170130,10
UVSL,20160328,5
VAIBHAVGBL,20021128,2
VAKRANGEE,20120412,20
VAKRANGEE,20171221,2
VALECHAENG,20021108,1.5
VALECHAENG,20071004,1.5
VALECHAENG,20081001,1.5
VASWANI,20110929,1.25
VATSALTD,20000830,10
VATSMUSC,19990309,8
VATSMUSC,20000510,10
VEDL,20050216,2
VEDL,20080808,20
VENKEYS,20011010,1.33
VENKEYS,20151221,1.5
VENLONPOLY,20041027,3.6
VETO,20130906,1.1
VGUARD,20160830,10
VGUARD,20170315,1.4
VIDHIING,20051108,10
VIJIFIN,20161025,10
VIJIFIN,20170804,1.1
VIKASECO,20140327,10
VIKASECO,20141113,2.5
VIKASHYB,19951211,1.75
VIKASWSP,20010122,10
VIMTALABS,20060224,5
VINATIORGA,20071122,1.5
VINATIORGA,20091030,5
VIPCLOTHNG,20060216,8.75
VIPIND,20111031,5
VIPULLTD,20070308,2
VIPULLTD,20071029,5
VIPULLTD,20100504,2
VISESHINFO,20130103,10
VISESHINFO,20130307,1.1
VISHALEXPO,20050225,5
VISHALEXPO,20050825,3
VISIONLTD,20021024,2
VISUALSOFT,20000809,3
VIVIDHA,20100121,10
VIVIDHA,20110526,2
VIVIDHA,20150528,11
VIVIDHA,20160330,1.33
VIVIMEDLAB,20160406,5
VKSPL,20130227,10
VKSPL,20130503,3.5
VLSFINANCE,19980622,2
VLSFINANCE,20000511,3
VOLTAS,20060922,10
VSTTILLERS,19990712,1.5
VTL,20050915,1.5
VTMLTD,20120816,10
VULCANENG,19951009,2
WABAG,20110816,2.5
WABAG,20150326,2
WALCHANNAG,20080225,10
WARRENTEA,20130321,1.7
WEBELSOLAR,20091229,2
WELSPUNIND,20160321,10
WENDT,19961110,2
WENDT,20030904,2
WIDIA,19960805,2
WIDIA,20000918,20
WIMPLAST,20160908,2
WINDMACHIN,20110616,2
WINSOME,20100121,10
WINSOME,20110804,0.1
WINSOMYARN,20110805,0.1
WIPRO,19950224,2
WIPRO,19971020,3
WIPRO,19990927,5
WIPRO,20040625,3
WIPRO,20050822,2
WIPRO,20100615,1.67
WIPRO,20170613,2
WOCKPHARMA,20040428,3
WSTCSTPAPR,19950718,10
WSTCSTPAPR,20071026,5
XPROINDIA,20040226,1.3
YESBANK,20170921,5
ZANDUREALT,19970929,1.2
ZANDUREALT,20041021,1.5
ZANDUREALT,20070118,1.33
ZEEL,19991206,10
ZEEL,20101111,2
ZENITHBIR,20100811,1.2
ZENSARTECH,20100721,2
ZENTEC,20141121,10
ZFSTEERING,20050830,2
ZODIACLOTH,20051024,2
ZODIACLOTH,20100823,1.5
ZODIACLOTH,20110927,1.5
ZYLOG,20120629,2
SIGNET,20180814,0.1
UNIPLY,20180625,5
CONCOR,20180626,2
AVANTIFEED,20180626,3
FILATEX,20180627,5
GALLISPAT,20180807,10
TIRUMALCHM,20180814,10
EMAMILTD,20180621,2
HIKAL,20180622,1.5
JYOTHYLAB,20180628,2
CUB,20180710,1.1
MINDAIND,20180711,3
ASHOKA,20180712,1.5
SUMEETINDS,20180802,1.25
BOROSIL,20180802,4
WHEELS,20180808,2
KARURVYSYA,20180814,1.1
INFY,20180904,2
ZENSARTECH,20180907,5
JMCPROJECT,20181004,5
APOLSINHOT,20181012,2
IEX,20181019,10
DAMODARIND,20181025,2
JINDWORLD,20181031,5
DFMFOODS,20181101,5
SAKUMA,20181112,10
BRITANNIA,20181129,2
GUJGASLTD,20190115,5
RADIOCITY,20190220,5
JMA,20190514,5
CHOLAFIN,20190614,5
APCOTEXIND,20190704,2.5
SESHAPAPER,20190819,5
HDFCBANK,20190919,2
SATIA,20191015,10
TRIDENT,20191213,10
SIS,20200115,2
VINATIORGA,20200205,2
IRCON,20200403,5
GLAXO,20180911,2
GODREJCP,20180912,3
IGARASHI,20180927,9.08
CUPID,20181011,6
MOTHERSUMI,20181030,3
CONCOR,20190204,5
WIPRO,20190306,4
NTPC,20190319,6
TTKPRESTIG,20190515,6
SYNGENE,20190611,2
BIOCON,20190612,2
RELAXO,20190626,2
MAGADSUGAR,20190627,3.5
AVADHSUGAR,20190627,2
UPL,20190702,3
GAIL,20190709,2
BHAGERIA,20190717,2
VBL,20190725,3
RITES,20190808,5
SWELECTES,20190822,3
BRIGADE,20190828,3
ASTRAL,20190916,5
AARTIIND,20190927,2
IMPAL,20191025,3
HCLTECH,20191205,2
BALMLAWRIE,20191226,3
RADIOCITY,20200312,5
KTKBANK,20200317,11
MOTOGENFIN,20200619,2
KARDA,20200702,5
KUANTUM,20200714,10
